;;"FAST BUDGET"

"Id";"Value";"Currency";"Category";"Account";"Date";"From/To";"Notes";"Value (EUR)"
"2046";"-50.0";"EUR";"Essen Arbeit";"Geldbörse";"3/4/22";;;"-50.0"
"2047";"-339.0";"EUR";"Wohnung";"DKB VISA Debit";"3/2/22";;"Bett1 Matratze";"-339.0"
"2048";"-81.3";"EUR";"Tanken";"DKB VISA Debit";"3/2/22";;;"-81.3"
"2049";"-15.99";"EUR";"Baumarkt";"DKB VISA Debit";"3/2/22";;"Stechbeitel";"-15.99"
"2050";"-30.0";"EUR";"Wohnung";"Geldbörse";"3/2/22";;"Lattenrost";"-30.0"
"2051";"-150.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"3/1/22";"Geldbörse";"";"-150.0"
"2052";"150.0";"EUR";"Transfer between accounts";"Geldbörse";"3/1/22";"DKB VISA Debit";"";"150.0"
"2053";"-12.28";"EUR";"Lebensmittel";"PayPal";"2/28/22";;;"-12.28"
"2054";"-4.49";"EUR";"Netflix";"DKB VISA Debit";"2/28/22";;;"-4.49"
"2055";"-2.5";"EUR";"Spotify";"DKB VISA Debit";"2/28/22";;"Spotify";"-2.5"
"2056";"-8.66";"EUR";"Lebensmittel";"PayPal";"2/27/22";;;"-8.66"
"2057";"58.46";"EUR";"_Ausgelegt";"PayPal";"2/26/22";;;"58.46"
"2058";"-107.45";"EUR";"Baumarkt";"DKB VISA Debit";"2/26/22";;"Bett Holz";"-107.45"
"2059";"-1.99";"EUR";"sonstige Ausgaben";"PayPal";"2/26/22";;"Google one";"-1.99"
"2060";"-49.8";"EUR";"Lebensmittel";"DKB VISA (ausgelaufen)";"2/26/22";;"Pizza";"-49.8"
"2061";"-30.0";"EUR";"Lebensmittel";"DKB VISA (ausgelaufen)";"2/26/22";;"Ederhof";"-30.0"
"2062";"-247.0";"EUR";"Miete";"DKB VISA Debit";"2/26/22";;;"-247.0"
"2063";"-500.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"2/26/22";"DKB VISA (ausgelaufen)";"";"-500.0"
"2064";"500.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"2/26/22";"DKB VISA Debit";"";"500.0"
"2065";"2167.17";"EUR";"Lohn";"DKB VISA Debit";"2/24/22";;;"2167.17"
"2066";"-3.99";"EUR";"Handyvertrag";"DKB VISA Debit";"2/17/22";;;"-3.99"
"2067";"-10.0";"EUR";"Essen Arbeit";"Geldbörse";"2/16/22";;;"-10.0"
"2068";"-77.06";"EUR";"Tanken";"PayPal";"2/15/22";;;"-77.06"
"2069";"-207.27";"EUR";"Krankenversicherung";"DKB VISA Debit";"2/15/22";;;"-207.27"
"2070";"-20.0";"EUR";"Essen Arbeit";"Geldbörse";"2/9/22";;;"-20.0"
"2071";"70.0";"EUR";"Eltern";"PayPal";"2/9/22";;"Waschmaschine";"70.0"
"2072";"-10.03";"EUR";"Lebensmittel";"Geldbörse";"2/9/22";;;"-10.03"
"2073";"-8.85";"EUR";"Verbrauchsartikel";"PayPal";"2/9/22";;;"-8.85"
"2074";"-74.28";"EUR";"Tanken";"PayPal";"2/9/22";;;"-74.28"
"2075";"-70.0";"EUR";"Technik";"Geldbörse";"2/8/22";;"Waschmaschine";"-70.0"
"2076";"-5.0";"EUR";"Essen Arbeit";"Geldbörse";"2/8/22";;;"-5.0"
"2077";"-30.0";"EUR";"Transfer between accounts";"PayPal";"2/7/22";"DKB VISA Debit";"";"-30.0"
"2078";"30.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"2/7/22";"PayPal";"";"30.0"
"2079";"-12.02";"EUR";"Ausgleich";"Geldbörse";"2/7/22";;;"-12.02"
"2080";"-10.0";"EUR";"sonstige Ausgaben";"Geldbörse";"2/7/22";;"In Handyhülle";"-10.0"
"2081";"-10.0";"EUR";"Essen Arbeit";"Geldbörse";"2/7/22";;;"-10.0"
"2082";"-120.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"2/7/22";"Geldbörse";"";"-120.0"
"2083";"120.0";"EUR";"Transfer between accounts";"Geldbörse";"2/7/22";"DKB VISA (ausgelaufen)";"";"120.0"
"2084";"-100.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"2/7/22";"DKB VISA (ausgelaufen)";"";"-100.0"
"2085";"100.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"2/7/22";"DKB VISA Debit";"";"100.0"
"2086";"-4.24";"EUR";"Lebensmittel";"PayPal";"2/5/22";;;"-4.24"
"2087";"200.0";"EUR";"Eltern";"PayPal";"2/5/22";;;"200.0"
"2088";"-38.94";"EUR";"Baumarkt";"PayPal";"2/5/22";;;"-38.94"
"2089";"-2.49";"EUR";"Lebensmittel";"PayPal";"2/4/22";;;"-2.49"
"2090";"-3.53";"EUR";"Lebensmittel";"PayPal";"2/3/22";;;"-3.53"
"2091";"-6.85";"EUR";"Lebensmittel";"PayPal";"2/1/22";;;"-6.85"
"2092";"-7.54";"EUR";"Lebensmittel";"PayPal";"1/31/22";;;"-7.54"
"2093";"-20.0";"EUR";"Geschenke";"PayPal";"1/30/22";;"Feier Richard Stefan";"-20.0"
"2094";"-5.0";"EUR";"Bar Alkohol";"Geldbörse";"1/29/22";;"Feier";"-5.0"
"2095";"-247.0";"EUR";"Miete";"DKB VISA Debit";"1/28/22";;"Februar";"-247.0"
"2096";"-50.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"1/28/22";"DKB VISA (ausgelaufen)";"";"-50.0"
"2097";"50.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"1/28/22";"DKB VISA Debit";"";"50.0"
"2098";"-4.49";"EUR";"Netflix";"DKB VISA Debit";"1/28/22";;;"-4.49"
"2099";"-2.5";"EUR";"Spotify";"DKB VISA Debit";"1/28/22";;"Spotify";"-2.5"
"2100";"-6.0";"EUR";"Ausflug";"Geldbörse";"1/21/22";;"Parken";"-6.0"
"2101";"-67.35";"EUR";"Tanken";"DKB VISA (ausgelaufen)";"1/20/22";;;"-67.35"
"2102";"-3.49";"EUR";"Lebensmittel";"Geldbörse";"1/20/22";;"Brot";"-3.49"
"2103";"-13.4";"EUR";"Baumarkt";"DKB VISA (ausgelaufen)";"1/18/22";;"Linksdreher";"-13.4"
"2104";"-275.28";"EUR";"Auto";"DKB VISA Debit";"1/17/22";;;"-275.28"
"2105";"-3.99";"EUR";"Handyvertrag";"DKB VISA Debit";"1/17/22";;;"-3.99"
"2106";"-36.51";"EUR";"Ausflug";"DKB VISA (ausgelaufen)";"1/15/22";;"Chalk, Pinzette, Mundschutz";"-36.51"
"2107";"-206.17";"EUR";"Krankenversicherung";"DKB VISA Debit";"1/15/22";;;"-206.17"
"2108";"-2.6";"EUR";"Ausflug";"Geldbörse";"1/14/22";;"Parken";"-2.6"
"2109";"-15.0";"EUR";"Bar Alkohol";"Geldbörse";"1/14/22";;"Pizza";"-15.0"
"2110";"-14.0";"EUR";"Ausflug";"Geldbörse";"1/14/22";;"Klettern";"-14.0"
"2111";"-24.72";"EUR";"Ausflug";"PayPal";"1/14/22";;"Kino";"-24.72"
"2112";"-14.0";"EUR";"Friseur";"Geldbörse";"1/11/22";;;"-14.0"
"2113";"72.87";"EUR";"_Ausgelegt";"PayPal";"1/5/22";;"Frankreich zurück";"72.87"
"2114";"0.09";"EUR";"sonstige Einnahmen";"PayPal";"1/5/22";;;"0.09"
"2115";"-2.49";"EUR";"Lebensmittel";"DKB VISA (ausgelaufen)";"1/3/22";;;"-2.49"
"2116";"-2.9";"EUR";"Ausflug";"DKB VISA (ausgelaufen)";"1/3/22";;"Maut";"-2.9"
"2117";"-29.0";"EUR";"Ausflug";"DKB VISA (ausgelaufen)";"1/3/22";;"Maur";"-29.0"
"2118";"-76.49";"EUR";"Tanken";"DKB VISA (ausgelaufen)";"1/3/22";;;"-76.49"
"2119";"-71.1";"EUR";"Tanken";"DKB VISA (ausgelaufen)";"1/3/22";;;"-71.1"
"2120";"-78.24";"EUR";"Tanken";"DKB VISA (ausgelaufen)";"1/3/22";;;"-78.24"
"2121";"-300.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"1/1/22";"DKB VISA (ausgelaufen)";"";"-300.0"
"2122";"300.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"1/1/22";"DKB VISA Debit";"";"300.0"
"2123";"1000.0";"EUR";"Eltern";"DKB VISA Debit";"1/1/22";;;"1000.0"
"2124";"-2.2";"EUR";"Ausflug";"PayPal";"12/29/21";;"Parken";"-2.2"
"2125";"-4.49";"EUR";"Netflix";"DKB VISA Debit";"12/28/21";;;"-4.49"
"2126";"-2.5";"EUR";"Spotify";"DKB VISA Debit";"12/28/21";;"Spotify";"-2.5"
"2127";"-247.0";"EUR";"Miete";"DKB VISA Debit";"12/25/21";;"Januar";"-247.0"
"2128";"50.0";"EUR";"Geschenk";"DKB VISA Debit";"12/23/21";;"Martin";"50.0"
"2129";"-12.6";"EUR";"Geschenke";"PayPal";"12/21/21";;"Hühnerkalender";"-12.6"
"2130";"13.73";"EUR";"sonstige Einnahmen";"PayPal";"12/20/21";;"Strom zurück";"13.73"
"2131";"250.0";"EUR";"sonstige Einnahmen";"DKB VISA Debit";"12/20/21";;"Opa Abschluss";"250.0"
"2132";"-53.61";"EUR";"Geschenke";"DKB VISA (ausgelaufen)";"12/19/21";;;"-53.61"
"2133";"-26.48";"EUR";"Geschenke";"PayPal";"12/18/21";;"Kalender";"-26.48"
"2134";"-5.03";"EUR";"Lebensmittel";"PayPal";"12/17/21";;;"-5.03"
"2135";"-3.99";"EUR";"Handyvertrag";"DKB VISA Debit";"12/17/21";;;"-3.99"
"2136";"-206.17";"EUR";"Krankenversicherung";"DKB VISA Debit";"12/15/21";;;"-206.17"
"2137";"-148.0";"EUR";"Auto";"DKB VISA Debit";"12/14/21";;"Steuern";"-148.0"
"2138";"-6.04";"EUR";"Geschenke";"PayPal";"12/13/21";;;"-6.04"
"2139";"50.0";"EUR";"Eltern";"Geldbörse";"12/12/21";;;"50.0"
"2140";"-8.75";"EUR";"Lebensmittel";"DKB VISA (ausgelaufen)";"12/10/21";;"Brötchen";"-8.75"
"2141";"-4.56";"EUR";"Lebensmittel";"DKB VISA (ausgelaufen)";"12/10/21";;;"-4.56"
"2142";"-14.0";"EUR";"Lebensmittel";"Geldbörse";"12/10/21";;"Pizza";"-14.0"
"2143";"-1.2";"EUR";"sonstige Ausgaben";"Geldbörse";"12/10/21";;"Speichen";"-1.2"
"2144";"-7.0";"EUR";"Lebensmittel";"DKB VISA (ausgelaufen)";"12/6/21";;"Brötchen";"-7.0"
"2145";"-22.96";"EUR";"Bar Alkohol";"DKB VISA (ausgelaufen)";"12/4/21";;;"-22.96"
"2146";"-200.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"12/4/21";"DKB VISA (ausgelaufen)";"";"-200.0"
"2147";"200.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"12/4/21";"DKB VISA Debit";"";"200.0"
"2148";"-58.49";"EUR";"Tanken";"DKB VISA (ausgelaufen)";"12/2/21";;;"-58.49"
"2149";"-3.27";"EUR";"Lebensmittel";"DKB VISA (ausgelaufen)";"12/1/21";;;"-3.27"
"2150";"-14.78";"EUR";"Lebensmittel";"DKB VISA (ausgelaufen)";"11/30/21";;;"-14.78"
"2151";"50.0";"EUR";"Eltern";"Geldbörse";"11/30/21";;;"50.0"
"2152";"1000.0";"EUR";"Eltern";"DKB VISA Debit";"11/30/21";;"Leihe";"1000.0"
"2153";"-247.0";"EUR";"Miete";"DKB VISA Debit";"11/30/21";;;"-247.0"
"2154";"-12.19";"EUR";"Geschenke";"DKB VISA (ausgelaufen)";"11/29/21";;"Strange planet";"-12.19"
"2155";"-4.49";"EUR";"Netflix";"DKB VISA Debit";"11/28/21";;;"-4.49"
"2156";"-2.5";"EUR";"Spotify";"DKB VISA Debit";"11/28/21";;"Spotify";"-2.5"
"2157";"-14.9";"EUR";"Bar Alkohol";"PayPal";"11/27/21";;;"-14.9"
"2158";"-5.0";"EUR";"Bar Alkohol";"Geldbörse";"11/27/21";;;"-5.0"
"2159";"-17.0";"EUR";"Bar Alkohol";"Geldbörse";"11/26/21";;"Pizza";"-17.0"
"2160";"20.0";"EUR";"sonstige Einnahmen";"Geldbörse";"11/26/21";;"Leihe";"20.0"
"2161";"-3.96";"EUR";"Lebensmittel";"DKB VISA (ausgelaufen)";"11/23/21";;;"-3.96"
"2162";"-27.4";"EUR";"Bar Alkohol";"DKB VISA (ausgelaufen)";"11/19/21";;;"-27.4"
"2163";"-9.0";"EUR";"Bar Alkohol";"Geldbörse";"11/19/21";;;"-9.0"
"2164";"-10.37";"EUR";"Lebensmittel";"PayPal";"11/19/21";;;"-10.37"
"2165";"-11.0";"EUR";"Ausflug";"Geldbörse";"11/19/21";;"Klettern";"-11.0"
"2166";"-3.99";"EUR";"Handyvertrag";"DKB VISA Debit";"11/17/21";;;"-3.99"
"2167";"-7.86";"EUR";"Lebensmittel";"PayPal";"11/16/21";;;"-7.86"
"2168";"-5.0";"EUR";"Ausflug";"Geldbörse";"11/16/21";;"Parken";"-5.0"
"2169";"-206.17";"EUR";"Krankenversicherung";"DKB VISA Debit";"11/15/21";;;"-206.17"
"2170";"-100.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"11/14/21";"DKB VISA (ausgelaufen)";"";"-100.0"
"2171";"100.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"11/14/21";"DKB VISA Debit";"";"100.0"
"2172";"-70.99";"EUR";"Tanken";"DKB VISA (ausgelaufen)";"11/14/21";;;"-70.99"
"2173";"-9.35";"EUR";"Transfer between accounts";"Geldbörse";"11/13/21";"PayPal";"";"-9.35"
"2174";"9.35";"EUR";"Transfer between accounts";"PayPal";"11/13/21";"Geldbörse";"";"9.35"
"2175";"-11.58";"EUR";"Verbrauchsartikel";"DKB VISA (ausgelaufen)";"11/11/21";;;"-11.58"
"2176";"10.0";"EUR";"Haema";"Geldbörse";"11/10/21";;;"10.0"
"2177";"-5.71";"EUR";"Lebensmittel";"DKB VISA (ausgelaufen)";"11/9/21";;;"-5.71"
"2178";"-5.0";"EUR";"Bar Alkohol";"Geldbörse";"11/8/21";;;"-5.0"
"2179";"-2.06";"EUR";"Lebensmittel";"DKB VISA (ausgelaufen)";"11/6/21";;;"-2.06"
"2180";"-4.58";"EUR";"Lebensmittel";"DKB VISA (ausgelaufen)";"11/6/21";;;"-4.58"
"2181";"-11.18";"EUR";"Lebensmittel";"DKB VISA (ausgelaufen)";"11/6/21";;;"-11.18"
"2182";"-19.57";"EUR";"Lebensmittel";"DKB VISA (ausgelaufen)";"11/4/21";;;"-19.57"
"2183";"-100.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"11/4/21";"DKB VISA (ausgelaufen)";"";"-100.0"
"2184";"100.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"11/4/21";"DKB VISA Debit";"";"100.0"
"2185";"-11.0";"EUR";"Ausflug";"Geldbörse";"11/3/21";;"Bouldern";"-11.0"
"2186";"50.0";"EUR";"Eltern";"Geldbörse";"11/1/21";;;"50.0"
"2187";"-5.0";"EUR";"Ausgleich";"Geldbörse";"11/1/21";;;"-5.0"
"2188";"-18.9";"EUR";"Kleidung";"PayPal";"11/1/21";;"Gürtel";"-18.9"
"2189";"-9.35";"EUR";"Transfer between accounts";"Geldbörse";"11/1/21";"PayPal";"Bäcker";"-9.35"
"2190";"9.35";"EUR";"Transfer between accounts";"PayPal";"11/1/21";"Geldbörse";"Bäcker";"9.35"
"2191";"150.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"11/1/21";"VB Giro (gelöscht)";"";"150.0"
"2192";"-21.0";"EUR";"Ausflug";"Geldbörse";"10/31/21";;"schorre";"-21.0"
"2193";"-247.0";"EUR";"Miete";"DKB VISA Debit";"10/31/21";;"Miete November";"-247.0"
"2194";"-9.99";"EUR";"Ausflug";"PayPal";"10/28/21";;"Maske";"-9.99"
"2195";"-4.49";"EUR";"Netflix";"DKB VISA Debit";"10/28/21";;;"-4.49"
"2196";"-2.5";"EUR";"Spotify";"DKB VISA Debit";"10/28/21";;"Spotify";"-2.5"
"2197";"-14.85";"EUR";"Bar Alkohol";"PayPal";"10/27/21";;"Cocktails";"-14.85"
"2198";"-20.0";"EUR";"Ausflug";"Geldbörse";"10/27/21";;"Klettern";"-20.0"
"2199";"-70.02";"EUR";"Tanken";"DKB VISA (ausgelaufen)";"10/24/21";;;"-70.02"
"2200";"-25.0";"EUR";"Ausflug";"Geldbörse";"10/23/21";;;"-25.0"
"2201";"-70.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"10/22/21";"Geldbörse";"";"-70.0"
"2202";"70.0";"EUR";"Transfer between accounts";"Geldbörse";"10/22/21";"DKB VISA (ausgelaufen)";"";"70.0"
"2203";"-1.56";"EUR";"Lebensmittel";"Geldbörse";"10/20/21";;;"-1.56"
"2204";"-1.19";"EUR";"Lebensmittel";"Geldbörse";"10/18/21";;;"-1.19"
"2205";"-3.99";"EUR";"Handyvertrag";"DKB VISA Debit";"10/17/21";;;"-3.99"
"2206";"-8.8";"EUR";"Transfer between accounts";"Geldbörse";"10/16/21";"PayPal";"Bäcker";"-8.8"
"2207";"8.8";"EUR";"Transfer between accounts";"PayPal";"10/16/21";"Geldbörse";"Bäcker";"8.8"
"2208";"-76.0";"EUR";"Tanken";"PayPal";"10/15/21";;;"-76.0"
"2209";"-4.69";"EUR";"Lebensmittel";"Geldbörse";"10/15/21";;;"-4.69"
"2210";"-112.95";"EUR";"Krankenversicherung";"DKB VISA Debit";"10/15/21";;;"-112.95"
"2211";"-11.0";"EUR";"Ausflug";"Geldbörse";"10/14/21";;"Bouldern";"-11.0"
"2212";"-19.95";"EUR";"sonstige Ausgaben";"PayPal";"10/14/21";;"Office";"-19.95"
"2213";"-2.2";"EUR";"Lebensmittel";"Geldbörse";"10/14/21";;;"-2.2"
"2214";"-4.4";"EUR";"Lebensmittel";"DKB VISA (ausgelaufen)";"10/14/21";;;"-4.4"
"2215";"-33.99";"EUR";"Ausflug";"DKB VISA (ausgelaufen)";"10/11/21";;"Kostüm";"-33.99"
"2216";"-40.0";"EUR";"Ausflug";"Geldbörse";"10/10/21";;"Hotel";"-40.0"
"2217";"-4.0";"EUR";"Bar Alkohol";"Geldbörse";"10/10/21";;;"-4.0"
"2218";"-6.0";"EUR";"Ausflug";"PayPal";"10/9/21";;"Parken";"-6.0"
"2219";"-9.0";"EUR";"Lebensmittel";"Geldbörse";"10/9/21";;;"-9.0"
"2220";"-1.22";"EUR";"Ausflug";"PayPal";"10/9/21";;"Ausgleich";"-1.22"
"2221";"-68.53";"EUR";"Ausflug";"DKB VISA (ausgelaufen)";"10/5/21";;"Tanken";"-68.53"
"2222";"-50.0";"EUR";"Ausflug";"Geldbörse";"10/5/21";;"Unterkunft";"-50.0"
"2223";"-0.7";"EUR";"sonstige Ausgaben";"Geldbörse";"10/5/21";;;"-0.7"
"2224";"-57.57";"EUR";"Ausflug";"DKB VISA (ausgelaufen)";"10/5/21";;"Tanken";"-57.57"
"2225";"-247.0";"EUR";"Miete";"DKB VISA Debit";"10/5/21";;"Oktober";"-247.0"
"2226";"-37.94";"EUR";"Ausflug";"DKB VISA (ausgelaufen)";"10/4/21";;"Tanken";"-37.94"
"2227";"-65.5";"EUR";"Ausflug";"DKB VISA (ausgelaufen)";"10/3/21";;"Essen Bier";"-65.5"
"2228";"-70.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"10/3/21";"Geldbörse";"";"-70.0"
"2229";"70.0";"EUR";"Transfer between accounts";"Geldbörse";"10/3/21";"DKB VISA (ausgelaufen)";"";"70.0"
"2230";"-9.5";"EUR";"Ausflug";"DKB VISA (ausgelaufen)";"10/3/21";;"Maut";"-9.5"
"2231";"-3.3";"EUR";"Ausflug";"Geldbörse";"10/3/21";;"Maut Toilette";"-3.3"
"2232";"-5.4";"EUR";"Ausflug";"DKB VISA (ausgelaufen)";"10/3/21";;"Maut";"-5.4"
"2233";"-6.7";"EUR";"Ausflug";"Geldbörse";"10/2/21";;"Eis";"-6.7"
"2234";"300.0";"EUR";"_Ausgelegt";"DKB VISA Debit";"10/2/21";;"Kaution zurück";"300.0"
"2235";"-7.0";"EUR";"Ausflug";"Geldbörse";"9/29/21";;;"-7.0"
"2236";"-3.9";"EUR";"Geschenke";"Geldbörse";"9/28/21";;;"-3.9"
"2237";"-4.49";"EUR";"Netflix";"DKB VISA Debit";"9/28/21";;;"-4.49"
"2238";"-2.5";"EUR";"Spotify";"DKB VISA Debit";"9/28/21";;"Spotify";"-2.5"
"2239";"50.0";"EUR";"Geschenk";"Geldbörse";"9/27/21";;"Sebastian Verteidigung";"50.0"
"2240";"-3.1";"EUR";"Ausgleich";"Geldbörse";"9/27/21";;"Toilettengebühren";"-3.1"
"2241";"-12.0";"EUR";"Transfer between accounts";"Geldbörse";"9/27/21";"PayPal";"Ausgleich ";"-12.0"
"2242";"12.0";"EUR";"Transfer between accounts";"PayPal";"9/27/21";"Geldbörse";"Ausgleich ";"12.0"
"2243";"1000.0";"EUR";"Eltern";"DKB VISA Debit";"9/27/21";;"Abschluss";"1000.0"
"2244";"-500.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"9/27/21";"DKB VISA (ausgelaufen)";"";"-500.0"
"2245";"500.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"9/27/21";"DKB VISA Debit";"";"500.0"
"2246";"-59.39";"EUR";"Ausflug";"DKB VISA (ausgelaufen)";"9/27/21";;"Einkaufen";"-59.39"
"2247";"-46.5";"EUR";"Ausflug";"DKB VISA (ausgelaufen)";"9/25/21";;;"-46.5"
"2248";"10.7";"EUR";"sonstige Einnahmen";"Geldbörse";"9/21/21";;"Rückgabe copycard";"10.7"
"2249";"9.16";"EUR";"sonstige Einnahmen";"Geldbörse";"9/21/21";;"Rückzahlung Studentenausweis";"9.16"
"2250";"-12.98";"EUR";"Ausflug";"PayPal";"9/21/21";;"Kino Dune";"-12.98"
"2251";"-1.5";"EUR";"Ausflug";"DKB VISA (ausgelaufen)";"9/21/21";;"Parken";"-1.5"
"2252";"-69.71";"EUR";"Tanken";"PayPal";"9/21/21";;;"-69.71"
"2253";"-3.99";"EUR";"Handyvertrag";"DKB VISA Debit";"9/17/21";;;"-3.99"
"2254";"-112.95";"EUR";"Krankenversicherung";"DKB VISA Debit";"9/15/21";;;"-112.95"
"2255";"200.0";"EUR";"_Ausgelegt";"DKB VISA Debit";"9/13/21";;"Hängestuhl und Spritgeld";"200.0"
"2256";"-123.5";"EUR";"Miete";"DKB VISA Debit";"9/11/21";;"Miete September";"-123.5"
"2257";"5.0";"EUR";"_Ausgelegt";"PayPal";"9/6/21";;"16/20.79";"5.0"
"2258";"-169.8";"EUR";"Ausgelegt";"DKB VISA (ausgelaufen)";"9/6/21";;"Geschenk kirsti";"-169.8"
"2259";"200.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"9/6/21";"VB Giro (gelöscht)";"";"200.0"
"2260";"-200.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"9/6/21";"DKB VISA (ausgelaufen)";"";"-200.0"
"2261";"200.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"9/6/21";"DKB VISA Debit";"";"200.0"
"2262";"-4.49";"EUR";"Netflix";"DKB VISA Debit";"8/28/21";;;"-4.49"
"2263";"-2.5";"EUR";"Spotify";"DKB VISA Debit";"8/28/21";;"Spotify";"-2.5"
"2264";"87.43";"EUR";"sonstige Einnahmen";"DKB VISA Debit";"8/26/21";;"DAK zurück";"87.43"
"2265";"-3.99";"EUR";"Handyvertrag";"DKB VISA Debit";"8/17/21";;;"-3.99"
"2266";"-5.55";"EUR";"Bar Alkohol";"PayPal";"8/15/21";;;"-5.55"
"2267";"-112.95";"EUR";"Krankenversicherung";"DKB VISA Debit";"8/15/21";;;"-112.95"
"2268";"-5.0";"EUR";"Ausflug";"Geldbörse";"8/14/21";;"Eintritt MDR";"-5.0"
"2269";"5.0";"EUR";"_Ausgelegt";"PayPal";"8/14/21";;"Fahrtgeld";"5.0"
"2270";"-18.2";"EUR";"Transfer between accounts";"Geldbörse";"8/14/21";"PayPal";"Bäcker ";"-18.2"
"2271";"18.2";"EUR";"Transfer between accounts";"PayPal";"8/14/21";"Geldbörse";"Bäcker ";"18.2"
"2272";"-70.11";"EUR";"Tanken";"PayPal";"8/13/21";;;"-70.11"
"2273";"10.0";"EUR";"Geschenk";"Geldbörse";"8/13/21";;"Fahrtgeld";"10.0"
"2274";"50.0";"EUR";"Geschenk";"DKB VISA Debit";"8/13/21";;"Geburtstag Opa";"50.0"
"2275";"-50.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"8/7/21";"Geldbörse";"";"-50.0"
"2276";"50.0";"EUR";"Transfer between accounts";"Geldbörse";"8/7/21";"DKB VISA (ausgelaufen)";"";"50.0"
"2277";"-100.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"8/6/21";"DKB VISA (ausgelaufen)";"";"-100.0"
"2278";"100.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"8/6/21";"DKB VISA Debit";"";"100.0"
"2279";"-12.1";"EUR";"Transfer between accounts";"Geldbörse";"8/2/21";"PayPal";;"-12.1"
"2280";"12.1";"EUR";"Transfer between accounts";"PayPal";"8/2/21";"Geldbörse";;"12.1"
"2281";"-50.0";"EUR";"sonstige Ausgaben";"Geldbörse";"8/2/21";;"Fotograf";"-50.0"
"2282";"-50.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"8/2/21";"Geldbörse";"";"-50.0"
"2283";"50.0";"EUR";"Transfer between accounts";"Geldbörse";"8/2/21";"DKB VISA (ausgelaufen)";"";"50.0"
"2284";"-15.0";"EUR";"Ausflug";"Geldbörse";"8/1/21";;"Springbreak";"-15.0"
"2285";"-4.5";"EUR";"Lebensmittel";"Geldbörse";"8/1/21";;;"-4.5"
"2286";"-8.0";"EUR";"Bar Alkohol";"Geldbörse";"7/31/21";;;"-8.0"
"2287";"-8.0";"EUR";"Bar Alkohol";"Geldbörse";"7/31/21";;;"-8.0"
"2288";"5.0";"EUR";"_Ausgelegt";"PayPal";"7/28/21";;"11/20.79";"5.0"
"2289";"-4.49";"EUR";"Netflix";"DKB VISA Debit";"7/28/21";;;"-4.49"
"2290";"-2.5";"EUR";"Spotify";"DKB VISA Debit";"7/28/21";;"Spotify";"-2.5"
"2291";"-12.99";"EUR";"Kultur";"PayPal";"7/23/21";;"Headspace ausversehen";"-12.99"
"2292";"-13.48";"EUR";"Sport";"DKB VISA (ausgelaufen)";"7/22/21";;"Kettenschlösser";"-13.48"
"2293";"-3.06";"EUR";"Ausgleich";"Geldbörse";"7/21/21";;"Schwund";"-3.06"
"2294";"6.0";"EUR";"_Ausgelegt";"PayPal";"7/21/21";;"Fahrgeld, Falschbuchung 6/20.79";"6.0"
"2295";"-20.79";"EUR";"Lebensmittel";"PayPal";"7/21/21";;"Verrechnet bei Rückbuchung von kirsti";"-20.79"
"2296";"-3.99";"EUR";"Handyvertrag";"DKB VISA Debit";"7/17/21";;;"-3.99"
"2297";"-112.95";"EUR";"Krankenversicherung";"DKB VISA Debit";"7/15/21";;;"-112.95"
"2298";"-42.05";"EUR";"Tanken";"DKB VISA (ausgelaufen)";"7/9/21";;;"-42.05"
"2299";"-60.0";"EUR";"Transfer between accounts";"DKB VISA (ausgelaufen)";"7/7/21";"Geldbörse";"";"-60.0"
"2300";"60.0";"EUR";"Transfer between accounts";"Geldbörse";"7/7/21";"DKB VISA (ausgelaufen)";"";"60.0"
